Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Firsthand Technology Value Fund,https://www.crunchbase.com/organization/firsthand-technology-value-fund,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Firsthand Technology Value Fund, Inc. is a publicly traded investment fund that provides private technology and cleantech companies with development funding and working capital, primarily in the form of equity investments. Cleantech companies include those engaged in the sale of goods and services designed to harness renewable energy and materials, eliminate emissions and waste, and reduce the use of natural resources. We are a Maryland corporation and are registered with the SEC as a business development company under the Investment Company Act of 1940. This provides the company with certain structural advantages, including public liquidity and a beneficial tax structure. Firsthand Capital Management, Inc. provides investment management services to us. Firsthand is led by Kevin Landis, a seasoned technology and cleantech investor with more than 25 years of experience in technology and investment management. Firsthand's team has been responsible for over $300 million of investments in more than 40 private companies over the past 20 years.",20,https://www.twitter.com/firsthandsvvc,,,,Active,Firsthand Technology Value Fund provides private technology and cleantech companies with funds and capital.,2011-04-18,day,2011-04-29,day,,,,https://firsthandtvf.com,vc@firsthandtvf.com,800.331.1710,,Venture Capital,"Early Stage Venture, Late Stage Venture",10,14,,5,5,5,,,,"17,622",-0.3,0.2,-0.1,163,"1,991.47",-75.37%,366,166.99%,10,190.14%,0%,-33.33%,"18,570,270","6,293,257",51.26%,18,,,7,,,,,5647,USD,5647
Firsthand Capital Management,https://www.crunchbase.com/organization/firsthand-capital-management,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,,9,,,,,Active,"Founded in 1994, Firsthand Capital Management is a California-based investment management firm focused on the technology sector.",1993-01-01,year,,,,,,http://www.firsthandcapital.com,info@firsthandcapital.com,408.886.7096,,Government Office,Late Stage Venture,11,13,,4,6,6,,,,"41,349",-0.1,-0.1,-0.4,197,82.69,,29,,2.4,,,,"23,016,285",,,7,,,,,,,,231933,USD,231933
InCube Ventures,https://www.crunchbase.com/organization/incube-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"DFJ InCube Ventures is a life science venture capital firm focused on investing in extraordinary innovations that solve unmet clinical needs for large patient populations. The fund is built around Mir Imran, one of the leading healthcare innovators. Under Mir's leadership, DFJ InCube Ventures has access to ventures formed by InCube Labs â€“ a multi-disciplinary research lab that has been a highly productive source of medical device companies. Mir and InCube Labs have formed 20 companies over the past 25 years, creating a series of multi-billion dollar markets along the way.  In addition to Mir, proven healthcare entrepreneurs and investors Andrew Farquharson and Wayne Roe serve as managing partners of the fund. DFJ InCube Ventures managing partners work closely with entrepreneurs to commercialize breakthroughs grounded in clinical need and protected by strong intellectual property. Their experienced team also actively helps young companies mitigate technical, clinical and reimbursement risks. Most importantly, the team collaborates with entrepreneurs to determine the most effective path for bringing innovations to life in a way that dramatically improves clinical outcomes. The fund's current portfolio includes companies that are developing novel treatment approaches in clinical areas such as atrial fibrillation, epilepsy, gastro intestinal surgery, iron-deficiency anemia, hemorrhagic stroke and metabolic disorders.",26,,,,,Active,DFJ InCube Ventures is a life science venture capital firm focused on investing in extraordinary innovations that solve unmet clinical,1995-01-01,year,,,,,,http://www.incubevc.com,contact@incubevc.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture",9,12,,,2,2,,,,"15,618",0.3,0.2,-0.1,725,387.87,-20.68%,41,"2,248.78%",3.25,179.71%,25.43%,-58.48%,"11,879,277","-1,540,125",-11.48%,18,,,,,,,,,,
Quantum Technology Partners,https://www.crunchbase.com/organization/quantum-technology-partners,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,Quantum Technology Partners invests in  early stage technology and life sciences companies. Quantum was founded by Barry Dickman in March of 2000.,5,,,,,Active,Quantum Technology Partners is a California-based venture capital firm that funds early-stage technology and life sciences companies.,2000-03-01,day,,,,,,http://www.quantumtp.com,barry@quantumtp.com,408 241-2311,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",7,11,,3,3,3,,,,"31,693",-0.2,0,-0.5,,13.12,,,,,,,,,,,7,,,,,,,,,,
Monet Capital,https://www.crunchbase.com/organization/monet-capital,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,,1,,,,,Active,Monet Capital is a technology - oriented venture capital firm.,2000-01-01,year,,,,,,http://www.monetcapital.com,monetcapital@monetcapital.com,,,Venture Capital,Early Stage Venture,7,10,,,5,5,,,,"24,443",0.6,1,1.6,,,,,,,,,,,,,10,,,,,,,,,,
Flex Lab IX,https://www.crunchbase.com/organization/flextronics-lab-ix,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"At Lab IX, you'll get access to Flextronics' global end-to-end supply chain solutions and industry leading expertise in hardware design, manufacturing and logistics. You'll also benefit from their specialized partners on an unprecedented scale. Lab IX impacts nearly every industry and help the world's best brands take their products to market all over the world with incredible speed.",4,,,,,Active,Flex Lab IX is creating the world’s largest hardware ecosystem,2013-07-01,day,,,,,,http://flextronicslabix.com,Mary.Lee@flex.com,,,"Accelerator, Venture Capital",Early Stage Venture,9,9,,3,,,,,,"9,646",-0.1,0,2.1,,,,,,,,,,,,,2,,,,,,,,,,
Raza Foundries,https://www.crunchbase.com/organization/raza-foundries,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Raza Foundries® is the premier broadband networking and communications Metacompany®. Raza Foundries builds and operates leading-edge broadband networking and communications Partner Companies to advance the Internet infrastructure. More than an incubator or venture capital firm, they are a new type of company, providing a long-term commitment, world-class resources, best-practices management methods, and their Fast Track™ development process to accelerate the growth and success of each of their Partner Companies. They have chosen the name ‘Foundries‘ to communicate and emphasize this differentiation. By focusing exclusively on the Internet infrastructure of broadband networking and communications, the underpinning of all Internet capability, their Partner Companies are built from the start to be long lived, high value, high intellectual property companies in high barrier to entry markets.",6,,,,,Active,Raza Foundries typically invests in Partner Companies at the beginning of their lifecycle.,,,,,,,For Profit,http://www.razafoundries.com,contact@razafoundries.com,(408) 434-5500,,Venture Capital,Venture,7,9,,1,4,4,,,,"30,642",-0.3,-0.7,-0.6,,79.57,,,,,,,,,,,6,,,4,0,1,,Advertising; business,,,
Trend Forward Capital,https://www.crunchbase.com/organization/trend-forward-capital,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,Trend Forward Capital is the venture capital arm of cybersercurity leader Trend Micro Inc. Our obsession with scaling innovative technology goes beyond mere funding (that's the easy part). We live to help early-growth companies fill the gaps in their businesses in order to generate and celebrate long-term success together (that's the hard part).,,,https://www.linkedin.com/company/18352399/,,,Active,Amplifying the potential of entrepreneurs who unlock a smart connected world.,2017-06-15,day,,,,,,https://www.trendforward.com/index.html,goahead@trendforward.com,,,"Corporate Venture Capital, Venture Capital","Convertible Note, Early Stage Venture, Seed, Venture",6,7,,1,,,,,,"10,013",0,-0.2,0,,249.69,,,,,,,,,,,15,,,,,,,,,,
HEDA Ventures,https://www.crunchbase.com/organization/heda-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"HEDA Ventures is a venture capital firm launched in 2016 in Silicon Valley. We focus on early-stage investments in three major sectors, biotech, healthcare and IT technology. Our goal is to find innovative companies, which potentially will have dramatic growth in the future, as our long-term strategic partners. Besides financial support,  we believe that we will be able to help those innovative firms with our resources and experiences. ",12,,,,,Active,Venture Capital,2016-10-01,month,,,,,,http://www.hedaventures.com,linxie@hedaventures.com,,,Venture Capital,"Early Stage Venture, Seed",5,6,,,,,,,,"12,908",-0.1,2.4,1,625,436.49,31.24%,0,-95.41%,1,-34.88%,100%,53.56%,"17,006,615","-1,743,157",-9.3%,5,,,,,,,,,,
Satwik Ventures,https://www.crunchbase.com/organization/satwik-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Satwik Ventures was established in 2000 with a mission to assist and invest in pre-public high technology start-ups and as a feeder fund to larger VC funds in Silicon Valley. Satwik Ventures has invested in over 40 firms ranging from chip design, telecom, security, B2B software, medical, social networking companies etc. Many of these companies received additional capital from well-known VC Funds in Silicon Valley and other investors in subsequent or same rounds totaling over $1 Billion. Satwik Ventures investments have resulted in successful acquisitions and IPO's. Satwik Team key differentiators include a strong network of larger VC firms, entrepreneurs, proprietary deal flow, and a proven ability to bring experts from its network for due-diligence on the most complex technologies. The Satwik Ventures Advisory Team and previous investors included some the best known technologists in Silicon Valley. They have the experience and ability to solve complex problems that require developing diverse teams, joint ventures, and alliances to achieve high value common objectives.",,,,,,Active,Satwik Ventures is a financial services and investment firm focusing on assisting late stage growth companies.,,,,,,,,http://www.satwikventures.com/,info@satwikventures.com,408.392.8859,,Venture Capital,"Early Stage Venture, Late Stage Venture",3,6,,1,1,1,,,,"13,304",0.8,0.1,4.4,,,,,,,,,,,,,18,,,,,,,,24682,USD,24682
Manos Accelerator,https://www.crunchbase.com/organization/manos-accelerator,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Manos Accelerator focuses on providing startups and entrepreneurs with advisory services, business resources, capital, and support to develop their business ideas. It is focuses on both the United States and Latin American startups in the high-tech industry. Manos Accelerator facilitates training programs and workshops to educate entrepreneurs about industries and offers guidance and media opportunities. Their training program is for three months.  Manos Accelerator takes 4% of the startups' equity stake. Manos Accelerator was founded by Sylvia Flores and Edward Avila in May 2013. And it is based in San Jose, California.",4,http://twitter.com/ManosAccel,,http://www.facebook.com/ManosAccelerator,,Active,Manos Accelerator is a targeting latino entrepreneurs.,2013-05-01,day,,,,,,http://manosaccelerator.com,edwarddward@manosaccelerator.com,,,Accelerator,,4,4,,,,,,,,"19,462",-0.1,0,0.2,"1,229","1,390.55",-30.25%,18,-37.49%,1.64,8.22%,77.48%,13.34%,"11,276,506","2,465,271",27.98%,29,,,,,,,,,,
Acuity Ventures,https://www.crunchbase.com/organization/acuity-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Acuity Ventures is a Silicon Valley-based family of venture capital funds that provide investment capital and strategic guidance to early stage and emerging growth companies. The Fund currently investing is Acuity Ventures III LP, formed in 2004. Acuity provides capital through convertible preferred debt, direct equity investments and other investment participations.",1,,,,,Closed,Acuity Ventures is a Silicon Valley-based family of venture capital funds that provide investment capital and strategic guidance to early.,,,,,,none,,http://www.acuityventures.com,,(408) 210-8394,,Venture Capital,"Early Stage Venture, Late Stage Venture",3,3,,1,1,1,,,,"10,139",1.1,-0.1,4.1,,75.41,,,,,,,,,,,2,,,,,,,,,,
Maxim Ventures,https://www.crunchbase.com/organization/maxim-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,Active,"Maxim Ventures invests across many industries, including healthcare, resource management, financial transactions, and factory productivity.",,,,,,,,http://www.maximventures.com,,408-601-1000,,Venture Capital,,3,3,,1,,,,,,"22,839",-0.3,1.4,2.4,457,355.58,35.37%,14,,2.03,102.8%,30.62%,-69.38%,"16,686,977","-4,874,227",-22.61%,8,,,,,,,,,,
3P Equity Partners,https://www.crunchbase.com/organization/3p-equity-partners,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"3P Equity Partners is a committed capital fund established in early 2012 with significant funding from several prominent family offices. Their investors engage us with the confidence of having partnered with 3P team members in a number of highly-successful ventures in prior years. With Their investors’ confidence today, They are empowered to make significant investment decisions much more quickly and efficiently than most in the market place.  Their competitive advantage is also derived from Their combined expertise in both the technical and operational sides of the enterprise.",1,,https://www.linkedin.com/company/3p-equity-partners,,,Active,3P Equity Partners is a committed capital fund established in early 2012 with significant funding from several prominent family offices.,,,,,,,,http://www.3pequity.com/,info@3pequity.com,(844) 274-0884,,Private Equity Firm,,2,3,,,,,,,,"27,927",0.4,1.3,0,210,118.12,59.39%,,,1,-61.96%,100%,68.54%,"26,298,314","-454,768",-1.7%,15,,,,,,,,,,
Parakletos Ventures,https://www.crunchbase.com/organization/parakletos-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,,1,,,,,Active,"Parakletos Ventures invests in technology-driven companies across the world, including China, Korea, India, and the United States.",,,,,,,,http://www.parakletos.com,,,,Venture Capital,"Early Stage Venture, Late Stage Venture",1,3,,1,,,,,,"28,762",0,3,5.1,,,,,,,,,,,,,6,,,,,,,,,,
CEC Capital Management LLC,https://www.crunchbase.com/organization/cec-capital-management-llc,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"CEC Capital Management LLC is the first venture capital management firm from China and has more than a decade of presence in Silicon Valley. Now backed by CEC (China Electronics Corporation), a leading IT conglomerate in China, CEC Capital expands its focus from semiconductors to TMT and carries on the mission to bridge Silicon Valley to China's IT industry.",,,,,,Active,CEC Capital Management is a venture capital arm of China Electronics Corporation.,,,,,,,,,,,,Venture Capital,Venture,3,3,,,1,1,,,,"35,336",-0.2,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,
Knight Ridder Ventures,https://www.crunchbase.com/organization/knight-ridder-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,Closed,A venture arm of Knight-Ridder seeks to invest in new media companies.,1997-01-01,year,,,,none,,,,,,Venture Capital,Venture,3,3,,2,3,3,,,,"64,885",-0.4,-1.2,3.2,,,,,,,,,,,,,,,,,,,,,,,
Trans Pacific Partners,https://www.crunchbase.com/organization/trans-pacific-partners,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,,7,,,,,Active,Trans Pacific Partners provides financial services.,,,,,,,,,,,,Venture Capital,"Early Stage Venture, Late Stage Venture",1,3,,1,1,1,,,,"75,655",0.1,0.7,1.8,,,,,,,,,,,,,,,,,,,,,,,
Hackers/Founders,https://www.crunchbase.com/organization/hackersfounders,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"The world’s largest network of entrepreneurs with over 300,000 members in 50 countries and 143 cities.  Home of geeks, biz devs, designers and others, building startups and companies around the Bay area. (Also, the world: https://hf.cx/chapters) Not only do we host great events, H/F is in the business of solving problems for founders, as we are founders ourselves: - Peruse our website for the big picture: https://hf.cx - Check out the Co-op, H/F’s founders’ cooperative. It’s not an accelerator, but a community of founders, mentors and educators working for the success of all: https://hf.cx/coop - Finally, there’s the HACK Fund, our own venture fund on the blockchain, because we’re all done dealing with fundraising stuff, both for founders and investors: https://hack.hf.cx - Finally, please join our Telegram chat group as it is the easiest way to communicate with us: https://t.me/hackersfounders Welcome aboard and we look forward to meeting you.",37,http://twitter.com/HackFoundSV,https://www.linkedin.com/company/hackers-founders/,http://www.facebook.com/hackersandfounders,,Active,"The world’s largest network of entrepreneurs with over 300,000 members in 50 countries and 143 cities.",2008-04-01,month,,,,,,https://www.hf.cx/,contact@hf.cx,,,"Co-Working Space, Secondary Purchaser, Syndicate, Venture Capital","Debt, Late Stage Venture, Secondary Market",2,2,,1,1,1,,,,"2,755",-0.1,-0.1,-2.6,"3,819","7,831.96",-71.74%,78,-38.99%,1.55,-21.95%,50.07%,2.5%,"5,593,494","3,421,546",157.53%,30,,,25,,,,,,,
"Cybernaut Zfounder Ventures, LLC",https://www.crunchbase.com/organization/cybernaut-zfounder-ventures-llc,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"We are a Los Angeles fund focusing primarily on areas of New Media, SaaS, Health Care, Fin-tech and Advanced Materials. We invest in companies that are technology led and industry disrupters at early stage. The areas we focus on include advanced materials, SaaS, Health care, and digital media. We believe next-generation innovation in these areas will bring significant impact in the cross-boarder market.",,,https://www.linkedin.com/company/cybernautzfoundersventure/,,,Active,Los Angeles based fund backed by Cybernaut Investment Group (China).,2016-05-01,month,,,,,For Profit,http://czvcapital.com,info@czvcapital.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed, Venture",2,2,,,,,,,,"21,498",0.1,-0.1,-0.8,,787.06,-100%,,,,,,,,,,11,,,,,,,,,,
