Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
HPA,https://www.crunchbase.com/organization/hyde-park-angels,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"As HPA transforms early-stage investing with a people-first approach, HPA provides unique value to entrepreneurs and investors by driving startup growth and investment success.",144,http://twitter.com/hydeparkangels,http://www.linkedin.com/company/hyde-park-angels,https://www.facebook.com/hydeparkangels,,Active,HPA is transforming early-stage investing with a people-first approach.,2007-01-01,year,,,,,,http://www.hydeparkangels.com,,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",58,98,,19,14,14,,,,"6,768",0.2,0.6,-0.6,"6,398","4,287.37",34.66%,21,-86.55%,2.68,-8.61%,18.01%,-32.06%,"3,703,918","-293,123",-7.33%,32,,,19,,,,,,,
Promus Ventures,https://www.crunchbase.com/organization/promus-ventures,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,Investing in visionary and tenacious early-stage software and hardware teams.,97,http://twitter.com/PromusVentures,https://www.linkedin.com/company/2922061,,,Active,Investing in early-stage deep-tech software/hardware companies run by visionary and tenacious founding teams.,2012-01-01,year,,,,,,http://www.promusventures.com,info@promusventures.com,,,Venture Capital,"Early Stage Venture, Seed, Venture",63,97,,7,15,15,,,,"4,892",-0.1,-0.4,3.3,922,852.33,16.22%,39,467.61%,2.35,32.73%,80.82%,19.34%,"11,831,289","-1,104,459",-8.54%,23,,,33,,,,,,,
Healthbox,https://www.crunchbase.com/organization/healthbox,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,Healthbox helps organizations build and sustain innovation strategies through consulting and fund management services. The firm works inside organizations to develop innovation programs that engage caregivers and assess the commercial potential of internal projects. It also helps organizations source potential solutions or investments from outside the organization.,139,http://twitter.com/healthbox,https://www.linkedin.com/company/healthbox/,http://www.facebook.com/Healthbox,,Active,"Healthbox is a an innovation consulting and fund management services firm, helping organization build and sustain innovation strategies.",2010-01-01,year,2018-03-03,day,,,,http://www.healthbox.com,info@healthbox.com,312.228.4669,,Accelerator,"Early Stage Venture, Late Stage Venture, Seed",88,95,,3,7,7,On-Site,,,"1,525",1.3,1.2,-1,"3,531","5,203.39",-47.03%,106,136.63%,1.75,16.3%,40.99%,11.8%,"5,956,374","1,966,772",49.3%,10,,,21,,,,,,,
Jump Capital,https://www.crunchbase.com/organization/jump-capital,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"Jump Capital is an expansion stage venture firm with operating DNA at its core. We offer unparalleled institutional resources through Jump’s ecosystem, including access to a broad network, top research labs and academic institutions advancing the state of the art in data mining, machine learning, high-performance computing and healthcare. Learn more at www.jumpcap.com and follow us on Twitter @jumpcapital.",158,http://twitter.com/JumpCapital,http://www.linkedin.com/company/jump-capital,https://www.facebook.com/jump-capital-455841717925406,,Active,Jump Capital is a venture capital firm specializing in Series A & B expansion stage investments in technology and software.,2012-01-01,year,,,,,,http://www.jumpcap.com,info@jumpcap.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",57,86,,30,5,5,,,,"2,833",-0.5,0.9,-2.4,"2,581","3,098.48",20.07%,145,204.62%,3.69,48.15%,34.85%,-0.03%,"5,462,562","-1,294,442",-19.16%,36,,,11,,,,,,,
Apex Venture Partners,https://www.crunchbase.com/organization/apex-venture-partners,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"Apex Venture Partners, established in 1987, has six funds and more than $600 million under management. The firm has invested in over 130 technology companies.  Apex focuses on early stage investments in software applications, technology-enabled services, IT infrastructure, and telecommunications. Apex's guiding investment philosophy is to provide exceptional returns for our investors and build significant value in our portfolio companies. Our central location in Chicago enables us to review opportunities throughout the United States and invest in companies having the greatest potential for value creation, regardless of geography.",55,,https://www.linkedin.com/company/apex-venture-partners,,,Active,"Apex Venture Partners, established in 1987, has six funds and more than $600 million under management.",1987-01-01,year,,,,,,http://www.apexvc.com,apex@apexvc.com,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",49,83,,23,22,22,,,,"10,725",-0.2,0,0.2,422,584.9,7.64%,82,5.54%,3.07,-4.24%,0%,-36.34%,"15,760,840","8,032",0.05%,13,,,10,,,,,164271,USD,164271
Techstars Chicago (Formerly Excelerate Labs),https://www.crunchbase.com/organization/excelerate-labs,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"Techstars Chicago conducts programs for startups to connect with investors, mentors, and entrepreneurs. The company selects ten companies every spring to participate in the 13-week intensive summer program. Starting in early June, the ten companies build connections and their businesses during the program. The program culminates in an Investor Demo Day at the end of August where the companies showcase their progress and plans to more than 500 investors and mentors from around the country. Techstars Chicago was founded in 2010 and is based in Chicago, Illinois.",8,http://twitter.com/ExcelerateLabs,http://www.linkedin.com/company/1832898,,,Active,"Techstars Chicago conducts programs for startups to connect with investors, mentors, and entrepreneurs.",2010-01-01,year,2013-02-01,day,,,,http://www.techstars.com/programs/chicago-program/,info@techstars.com,,,Accelerator,"Early Stage Venture, Seed",78,80,,,16,16,On-Site,2019-10-13,13,"19,826",-0.2,0,-0.2,,,,,,,,,,,,,39,,,,,,,,,,
Comdisco Ventures,https://www.crunchbase.com/organization/comdisco-ventures,"Rosamond, Illinois, United States",,,"Great Lakes, Midwestern US",,"Comdisco emerged from chapter 11 bankruptcy proceedings on August 12, 2002. The purpose of reorganized Comdisco is to sell, collect or otherwise reduce to money in an orderly manner the remaining assets of the corporation. Pursuant to Comdisco's plan of reorganization and restrictions contained in its certificate of incorporation, Comdisco is specifically prohibited from engaging in any business activities inconsistent with its limited business purpose. Accordingly, within the next few years, it is anticipated that Comdisco will have reduced all of its assets to cash and made distributions of all available cash to holders of its common stock and contingent distribution rights in the manner and priorities set forth in the Plan. At that point, the company will cease operations and no further distributions will be made.",1,,,,,Active,"Comdisco emerged from chapter 11 bankruptcy proceedings on August 12, 2002. The purpose of reorganized Comdisco is to sell, collect or",1969-01-01,year,,,,,,http://www.comdisco.com,mabolste@comdisco.com,,,Private Equity Firm,"Debt, Late Stage Venture, Private Equity",66,73,,6,38,38,,,,"20,062",0.4,0.8,1.3,,37.2,,,,,,,,,,,5,,,5,,,,,,,
M25,https://www.crunchbase.com/organization/M25-VC,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"M25 is a Chicago-based Midwest-focused venture capital firm run by Victor Gutwein and Mike Asem. Since the firm's inception in 2015, M25 has invested in over seventy early-stage tech startups in over 20 cities across 11 states in the Midwest. M25's objective, analytical model and collaborative, forward-thinking approach creates a large portfolio spanning several industries across the entire region, allowing them to establish M25 as a key node in Midwest startup ecosystem.",7,https://twitter.com/m25vc,https://www.linkedin.com/company/m25-vc/,,,Active,Early-stage VC targeting a wide variety of early-stage startups headquartered in the Midwest.,2015-05-01,day,,,,,,https://m25vc.com/,victor.gutwein@m25vc.com,,,Micro VC,"Early Stage Venture, Seed",61,72,,3,1,1,,,,"6,740",1.5,1.3,-1.7,"1,215","2,580.33",-25.63%,178,"2,778.9%",2.03,23.41%,54.82%,14.95%,"10,278,976","1,131,164",12.37%,15,,,,,,,,,,
First Analysis,https://www.crunchbase.com/organization/first-analysis,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"First Analysis is a leading venture capital investor. They have one of the longest records (30 years) in venture capital, having invested more than $750 million across multiple highly diversified funds. First Analysis invests mainly in the United States with a focus on our sectors of expertise: technology/software, healthcare, services, and clean-tech/chemicals. They help established companies become profitable leaders in large markets, funding growth plans and working closely with management in areas including strategy, recruitment, sales and marketing, and corporate development. Their flexible approach targets investing $3-10 million as lead investor or as a syndicate partner who brings valuable perspective to the table.",72,http://twitter.com/FirstAnalysis,https://www.linkedin.com/company/first-analysis,,,Active,"First Analysis is a venture capital investment company that offers equity research, investment banking, and sales and trading services.",1981-09-17,day,,,,,,http://www.firstanalysis.com,,,,Venture Capital,"Early Stage Venture, Late Stage Venture",53,69,,27,20,20,,,,"4,766",-0.6,-0.1,4.3,"1,813","1,975.61",5.09%,142,-2.52%,4.19,87.11%,17.22%,-23.69%,"6,914,265","-1,061,287",-13.31%,4,,,,,,,,624370,USD,624370
IrishAngels,https://www.crunchbase.com/organization/irishangels,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"IrishAngels is an early stage venture firm focused on early investments in high potential startups across the U.S. The IrishAngels network is an angel group comprised of 225 investors, including some of the nation’s leading venture capital and private equity professionals as well as seasoned entrepreneurs.",15,http://twitter.com/IrishAngels,http://www.linkedin.com/company/irishangels,http://www.facebook.com/irishangelsND,,Active,IrishAngels is a Chicago-based angel investing network affiliated with the University of Notre Dame.,2012-10-01,day,,,,,,http://irishangels.com,info@irishangels.com,,,Angel Group,"Early Stage Venture, Seed",43,69,,,4,4,,,,"25,734",-0.3,-0.8,-1.6,454,"1,431.59",-58.73%,472,474.03%,5.34,-21.41%,,,"13,326,833","5,638,582",73.34%,3,,,8,,,,,,,
Origin Ventures,https://www.crunchbase.com/organization/origin-ventures,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"Origin Ventures, founded in 1999, is a leading venture capital firm composed entirely of former operators and engineers with extensive venture investing experience. The firm’s realized performance places it in the top 5% of VC firms nationally. Origin is headquartered in Chicago and maintains an office in Salt Lake City, UT. The firm invests across the country in emerging software and technology-enabled B2B and B2C marketplace businesses capable of exponential growth. Typical investments are in Series A rounds in companies that have achieved preliminary product-market fit. Origin’s initial check can range from $0.5M to $4M. In 2015, the firm created the Origin Ventures Network, an engaged community of portfolio companies, to offer expanded opportunities for collaboration and support amongst the portfolio companies’ hundreds of employees. By providing the network with dedicated tools and resources, Origin helps its portfolio companies solve problems faster and navigate the challenges of growing into a market leader.  Exited investments include Grubhub, Teem, Ahalogy, and many other market-leading companies. To learn more, visit www.originventures.com.",110,http://twitter.com/OriginVentures,https://www.linkedin.com/company/3153121?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3153121%2Cidx%3A1-1-1%2CtarId%3A1440538115176%2Ctas%3AOrigin%20Ventures,https://www.facebook.com/originVC/,,Active,VC firm investing in emerging software and technology-enabled B2B and B2C marketplace businesses capable of exponential growth.,1999-01-01,year,,,,,,http://www.originventures.com,inquire@originventures.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",40,65,,23,9,9,,,,"6,067",0.1,-1.1,1.3,"1,928","3,131.43",122.46%,120,39.59%,2.27,-22.2%,55.53%,23.49%,"7,698,408","-3,154,641",-29.07%,5,,,39,,,,,28685,USD,28685
BlueCross BlueShield Venture Partners,https://www.crunchbase.com/organization/bluecross-blueshield-venture-partners,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"BlueCross BlueShield Venture Partners (BCBSVP) is a corporate venture fund program to which twenty-nine BCBS entities have committed over $500 million across three Funds. The Funds invest in promising emerging companies of strategic relevance to Blue Cross and/or Blue Shield Plans and provide access to its portfolio to deploy innovation at scale. BlueCross BlueShield Venture Partners is sponsored by the Blue Cross and Blue Shield Association, an association of independent Blue Cross and Blue Shield companies. Sandbox Industries is the exclusive provider of investment management services to BlueCross BlueShield Venture Partners.",68,,,,,Active,BCBSVP is a corporate venture fund program to which twenty-nine BCBS entities have committed over $500 million across three funds.,,,,,,,,http://www.bcbsvp.com,,312-243-4100,,"Corporate Venture Capital, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Seed",40,63,,23,8,8,,,,"6,404",-0.2,0.6,-0.9,"2,538","2,279.94",29.31%,12,-82.2%,1.32,-47.35%,79.24%,35.96%,"7,676,844","337,823",4.6%,15,,,,,,,,2570,USD,2570
MK Capital,https://www.crunchbase.com/organization/mk-capital,"Northbrook, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"MK Capital is a $250 million venture capital fund with headquarters in Chicago and offices in Los Angeles and Ann Arbor. MK Capital offers multi-stage growth equity and venture capital to companies in the following sectors:      * Digital Media     * Data Center Automation     * Software     * Education Technology As a member of the MK Capital portfolio, companies get access to an experienced partner with deep operating experience. We leverage insights from a strong understanding of our sectors to help our portfolios companies grow. We collaborate on strategy, operations, and technology as active members on the boards of our portfolio companies.",150,http://twitter.com/mkcapital,https://www.linkedin.com/company/69668?trk=cws-btn-overview-0-0,http://www.facebook.com/mkcapital,,Active,MK Capital is a $250 million venture capital fund with headquarters in Chicago and offices in Los Angeles and Ann Arbor.,2003-01-01,year,,,,,,http://www.mkcapital.com,kris@mkcapital.com,310.586.7400,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",38,62,,31,14,14,,,,"8,177",0,1.4,0.4,617,629.98,-27.11%,392,"1,077.5%",4.54,69.97%,43.22%,-0.56%,"12,392,668","1,164,608",10.37%,16,,,,,,,,827986,USD,827986
