Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Summit Partners,https://www.crunchbase.com/organization/summit-partners,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Founded in 1984, Summit Partners is a global alternative investment firm that is currently investing more than $9.5 billion into growth equity, fixed income and public equity opportunities. Summit has invested in more than 460 companies in technology, healthcare, life sciences and other growth industries. These companies have completed more than 140 public equity offerings, and more than 180 strategic mergers and sales.  Summit Partners enhances the value of these companies through infrastructure development, executive and board recruiting, and strategic and operational advice. The firm also brings extensive experience in helping companies navigate the complex process of public offerings or strategic sales and mergers.  Summit Partners' target investment range is $10 million to more than $500 million. Summit has offices in Boston, Menlo Park and London.",704,http://twitter.com/summitpartners,http://www.linkedin.com/company/summit-partners,https://www.facebook.com/Summit-Partners-1356145997755241/,,Active,"Global alternative investment firm currently investing more than $9.5B into growth equity, fixed income and public equity opportunities",1984-01-01,year,,,,,,http://www.summitpartners.com,,,,Private Equity Firm,"Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",299,328,,83,199,199,,,,"1,198",6.3,7.2,6.9,"39,286","30,881.95",111.21%,63,-39.36%,3.25,-26.87%,35.42%,-3.62%,"874,708","-320,023",-26.79%,55,,,53,,,,,14195299,USD,14195299
Flybridge Capital Partners,https://www.crunchbase.com/organization/flybridge-capital,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Flybridge is a seed and early-stage venture capital firm whose mission is to assist entrepreneurs in growing innovative, global companies. With more than $625 million under management, the firm is focused on seed and early-stage investing in technology markets and is led by a team with domain expertise and more than half a century of combined experience in venture capital. Flybridge was founded on 2001 and is headquartered in Boston, Massachusetts.",576,http://twitter.com/flybridge,https://www.linkedin.com/company/287758?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A287758%2Cidx%3A3-1-3%2CtarId%3A1458656919909%2Ctas%3Aflybridge,https://www.facebook.com/Flybridge-Capital-Partners-8668964614/,,Active,Flybridge Capital Partners is a seed and early-stage venture capital firm that invests in technology companies.,2001-01-01,year,,,,,,http://www.flybridge.com,hello@flybridge.com,617.307.9292,,Venture Capital,"Early Stage Venture, Seed",119,322,,62,54,54,,,,"2,046",-0.4,6.7,7.2,"5,939","4,704.1",24.53%,161,50.18%,5,19.94%,32.38%,-4.61%,"2,659,891","-520,721",-16.37%,22,,,12,,,,,259411,USD,259411
SV Health Investors,https://www.crunchbase.com/organization/sv-life-sciences,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"SV Health Investors, formerly SV Life Sciences, is a leading healthcare and life sciences venture capital and growth equity firm. Their goal is to transform healthcare – one investment at a time – by supporting the entrepreneurs who create and build breakthrough companies and treatments. With over $2 billion in capital under management in seven private healthcare funds, a 20-year track record in the US and Europe and offices in Boston, San Francisco and London, SV Health Investors drives game-changing innovation.",235,http://twitter.com/SVLifeSciences,https://www.linkedin.com/company/sv-health-investors/,,,Active,SV Health Investors is a Boston-based venture capital firm focused on investments in biotechnology and healthcare industry.,1993-01-01,year,,,,,,http://svhealthinvestors.com/,info@svlsa.com,1 617 367 8100,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",92,210,,55,36,36,,,,"3,360",-0.5,-1,5.1,"2,252","3,312.68",22.93%,198,65.59%,2.38,39.88%,58.6%,2.81%,"7,069,676","-1,270,311",-15.23%,18,,,,,,,,1394204,USD,1394204
MPM Capital,https://www.crunchbase.com/organization/mpm-capital,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Unique to MPM is an internal team of industry experts that has been specifically assembled not only to enable MPM to assess opportunities but to participate in the value creation and value enhancing acitivites once MPM is an investor. They believe that there senior team is the broadest and deepest team in healthcare venture capital, comprised of talented individuals with impressive investing and finance pedigrees, as well as persons who possess specific functional and operating expertise. MPM executives have and will continue to take interim operating positions in portfolio companies. They can ""drop in"" expertises in chemistry or biology, intellectual property, licensing and business development, clinical trial design and execution, and commercial operations. Whether we are helping build a company, filling in short-term management gaps, or working alongside management to prepare for key value-creating events, they do whatever it takes to help there companies succeed.",137,http://twitter.com/mpmcapital,https://www.linkedin.com/company/mpm-capital,,,Active,"MPM Capital caters to the healthcare sector with seed, early, and later stage venture, and private equity investments.",1996-01-01,year,,,,,,http://www.mpmcapital.com,info@mpmcapital.com,617-425-9200,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",106,206,,60,63,63,,,,"2,309",2.5,6.4,6.6,"3,826","5,926.76",6.73%,97,234.58%,1.78,16.38%,56.69%,-3.34%,"5,319,720","-520,279",-8.91%,8,,,,,,,,387856,USD,387856
Flagship Pioneering,https://www.crunchbase.com/organization/flagship-ventures,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Serious health and sustainability needs challenge societies worldwide. Incremental innovations by incumbents and conventional startups will not meet these challenges. Pioneering is Flagship’s proven process for originating and developing scientific ventures with unprecedented impact. Pioneering surmounts boundaries, obstacles and limits. Pioneering abandons familiar territory to embrace the transformative potential of new scientific paradigms. Pioneering creates new futures.",616,https://twitter.com/wearepioneering,https://www.linkedin.com/company/29602,,,Active,"Leading firm that conceives, creates, resources and grows first-in-category ventures to transform human health and sustainability.",2000-01-01,year,,,,,,http://flagshippioneering.com/,,617.868.1888,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",91,203,,59,55,55,,,,"3,162",-0.5,-0.8,1.7,"14,742","20,508.98",-11.19%,105,-39.75%,4.7,21.61%,37.67%,-7.3%,"1,464,239","118,019",8.77%,27,,,19,,,,,904091,USD,904091
Accomplice,https://www.crunchbase.com/organization/accomplice-atlas-venture,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Accomplice is an early-stage venture capital firm that invests in technology startup companies, with specialties in cybersecurity, eSports, data analytics, SMB class software, emerging hardware platforms, and marketplaces. Their partners are Jeff Fagnan and Ryan Moore. Headquartered in Cambridge, Massachusetts, Accomplice is one of the most active early stage firms in New England. A majority of Accomplice’s investments are in Boston, with others throughout the U.S., in Canada, and in the E.U. Formerly known as Atlas Venture, the firm announced in October 2014 that it was splitting its technology and life sciences franchises. The technology group renamed as Accomplice; the life sciences group retained the name Atlas Venture.",22,https://twitter.com/accomplices,https://www.linkedin.com/company/accomplice-vc,https://www.facebook.com/AccompliceVC,,Active,Accomplice (FKA Atlas Venture)  is an early-stage venture capital firm that invests in technology startup companies.,2015-03-01,day,,,,,,https://accomplice.co,hello@accomplice.co,617-588-2600,,Venture Capital,"Early Stage Venture, Seed",126,192,,45,24,24,,,,"7,610",2.3,-0.4,-0.1,"6,243","4,239.27",64.32%,37,-76.07%,1.77,-30.41%,45.82%,5.24%,"4,051,394","-431,039",-9.62%,11,,,5,,,,,42885,USD,42885
F-Prime Capital,https://www.crunchbase.com/organization/f-prime-capital-partners,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"F-Prime's roots are in one of America’s great entrepreneurial success stories. Fidelity Investments was founded in 1946 and grew from a single mutual fund into one of the largest asset management firms in the world, with over $2 trillion in assets under management. For the last forty years, this venture capital group has had the privilege of backing other great entrepreneurs as they built ground-breaking companies in technology and life sciences, including Atari, MCI, ROLM Corp., Alibaba, Ironwood Pharmaceuticals, and Ultragenyx. Today, F-Prime's funds are larger and more global, but its teams are still small and local. F-Prime stays true to its entrepreneurial roots. In the US and Europe, F-Prime Capital Partners is investing in healthcare (formerly Fidelity Biosciences) and in technology (formerly part of Devonshire Investors). In other geographies, its sister fund is called Eight Roads (formerly Fidelity Growth Partners), with investment teams in London, Shanghai, Beijing, Hong Kong, Tokyo, and Mumbai.  Together F-Prime brings a world of insight, domain expertise and relationships to support entrepreneurs. Without the pressure of fundraising from outside investors, F-Prime Capital Partners focuses all of its time finding and helping great entrepreneurs build important companies.",130,https://www.twitter.com/fprimecapital,,,,Active,F-Prime Capital is a global venture capital firm investing in healthcare and technology.,1946-01-01,year,,,,,,http://www.fprimecapital.com,info@fprimecapital.com,617-231-2400,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",121,187,,47,35,35,,,,675,5.9,9.6,9.1,"6,170","8,244.24",0.33%,274,53.49%,5.59,20.25%,36.23%,-8.41%,"2,463,540","-50,408",-2.01%,39,,,,,,,,100735,USD,100735
Globespan Capital Partners,https://www.crunchbase.com/organization/globespan-capital-partners,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Globespan is the VC firm passionate about partnering with entrepreneurs as they take their companies to market. We uniquely serve these companies, helping them establish the infrastructure required to scale their offerings. We invest in startups in the IT infrastructure, SaaS, mobile, and Internet industries. With our personal market-facing expertise, strategic approach, and strong industry networks, we help companies realize their potential. Our track record with entrepreneurs has led us to become a leading venture capital firm across the globe.",275,http://twitter.com/GlobespanCap,http://www.linkedin.com/company/30366,http://www.facebook.com/pages/Globespan-Capital-Partners/1795239,,Active,Globespan Capital Partners is a California-based venture capital firm that finances startups in the IT industry.,2003-01-01,year,,,,,,http://www.globespancapital.com,businessplan@globespancapital.com,617.305.2300,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",85,175,,43,50,50,,,,"4,475",0,4.6,4.6,790,"1,242.31",-83.86%,107,"5,160.46%",2.79,148.75%,19.73%,-6.1%,"14,032,173","7,826,095",126.1%,23,,,9,,,,,,,
CVP Management,https://www.crunchbase.com/organization/commonangels,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"CVP Management is a venture capital firm specializing in seed, startup, early Series A, and early stage investments. It does not invest in life sciences, medical devices and energy production companies as well as businesses that require $5 million to $10 million of upfront capital before validating the concept.  CVP Management seeks to invest in beta, working prototype, and go-to-market stages. It prefers to invest in Information Technology infrastructure with focus on software application, internet, digital media, digital marketing, vertical SAAS, cloud, embedded software, mobile, financial service technologies, and cutting-edge information technology ventures.  CVP Management invests in companies based in the Northeast corridor with a concentration on Boston, New York and Toronto. It typically invests between 0.1 million and $1 million and for Seed and Series A rounds it invests between $1 million and $3.5 million.  CVP Management invests in companies with enterprise value of $5 million. It prefers to have a seat on the company’s board of directors in its portfolio companies.  CVP Management prefers to invest in preferred stock. It began operation on June 1, 1998, with its headquarters in Cambridge in Massachusetts with an additional office in Boston, Massachusetts.",76,https://twitter.com/convergevp,https://www.linkedin.com/company/converge-venture-partners/,https://www.facebook.com/ConvergeVP/,,Active,"CVP Management is a venture capital firm that specializes in seed, startup, early Series A, and early stage investments.",1998-06-01,day,,,,,,https://converge.vc/,,781-274-9124,,"Micro VC, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",70,149,,15,22,22,,,,"26,257",-0.1,0.5,4.6,,,,,,,,,,,,,18,,,,,,,,,,
Prism Venture Management,https://www.crunchbase.com/organization/prism-venture-management,"Needham, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Prism Ventureworks has 5 funds with $1.25 billion in investments. Their most recent fund is for $250M which was raised in June 2005. Each of their team members focuses on different industry sectors within technology and life sciences. These industry sectors in technology include the digital living, wireless, mobile and telecommunications markets, as well as promising opportunities in next-generation data centers and on-demand and security applications. In life sciences, we focus on medical devices, therapeutics and breakthrough diagnostics.",2,https://www.twitter.com/pvwportfolio,https://www.linkedin.com/company/prism-venture-partners,,,Active,Prism Ventureworks has 5 funds with $1.25 billion in investments. Their most recent fund is for $250M which was raised in June 2005. Each,1996-01-01,year,,,,,,http://www.prismventure.com,ir@prismventure.com,781.302.4000,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",71,144,,46,40,40,,,,"8,011",-0.1,0.5,2,164,118.87,-1.68%,,,1,0%,100%,0%,"28,368,348","447,398",1.6%,5,,,6,,,,,82464,USD,82464
Techstars Boston Accelerator,https://www.crunchbase.com/organization/techstars-boston-accelerator,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Boston is home to countless category-shifting, deep tech creations & is viewed as a top innovation hub in a number of verticals. With a reputation for churning out hugely successful companies & disruptive technologies, the Techstars program in Boston attracts top talent from all over the world. Known for producing some of the best-funded classes across all of Techstars programs, Boston boasts an intensely active startup ecosystem that enables hundreds of companies & successful exits each year",1,,,,,Active,Techstars Boston Accelerator is a top innovation hub that attracts top talent from all over the world. ,,,,,,,,https://www.techstars.com/programs/boston-program/,info@techstars.com,,,Accelerator,Seed,139,139,,,25,25,,2019-10-13,13,"14,675",-0.2,-0.7,-0.2,,,,,,,,,,,,,38,,,,,,,,,,
SR One,https://www.crunchbase.com/organization/sr-one,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"SR One is the corporate venture capital arm of GlaxoSmithKline. The firm invests globally in emerging life science companies that are pursuing innovative science which will significantly impact medical care. Since 1985, SR One has invested approximately 800 million in more than 180 companies.",213,,https://www.linkedin.com/company/sr-one,,,Active,SR One is the corporate venture capital arm of GlaxoSmithKline.,1985-01-01,year,,,,,,http://www.srone.com,,(610) 567-1000,,Corporate Venture Capital,,77,137,,40,38,38,,,,"4,227",4.6,4.8,-0.6,823,"1,183.46",-35.28%,65,-88.78%,2.66,26.89%,63.05%,6.98%,"11,728,574","2,072,365",21.46%,5,,,,,,,,,,
Kodiak Venture Partners,https://www.crunchbase.com/organization/kodiak-venture-partners,"Wellesley, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Kodiak Venture Partners pursues a disciplined investment strategy that is focused on building seed and early stage technology companies into high-growth industry market leaders. Kodiak partners have deep expertise in building and investing in market leaders. The team invests in markets where they have had proven success over the years. Founded in 1999, Kodiak manages three funds totaling $676M and targets companies in eastern North America. Kodiak forges deep relationships with entrepreneurs at the earliest stages and works with a hands-on approach to formulate business strategies, build management teams, and develop critical alliances and customer relationships.",71,,,,,Active,Kodiak Venture Partners pursues a disciplined investment strategy that is focused on building seed and early stage technology companies,1999-01-01,year,,,,,,http://www.kodiakvp.com,contact@kodiakvp.com,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",61,134,,38,33,33,,,,"13,655",0.3,1.2,0.6,180,201.47,61.93%,43,-54.7%,1.47,-63.31%,53.25%,53.25%,"25,829,795","564,310",2.23%,15,,,,,,,,8588,USD,8588
