Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Chevron Technology Ventures,https://www.crunchbase.com/organization/chevron-technology-ventures,"Houston, Texas, United States",,,"Greater Houston Area, Southern US",,"Chevron Technology Ventures champions innovation, commercialization and integration of emerging technologies within Chevron. Chevron Technology Ventures (CTV) helps Chevron embrace emerging technologies to create new commercial opportunities, reduce costs and improve performance. CTV serves as one of the company's most important technology ""scouts,"" always searching for emerging technologies that could enhance Chevron's strategies. CTV identifies, acquires, tests, validates, and, if appropriate, helps integrate those technologies into the company's core businesses. Alternatively, technologies may be studied then ""shelved"" for future consideration.",132,http://twitter.com/Chevron,http://www.linkedin.com/company/chevron,http://www.facebook.com/Chevron,,Active,"Chevron Technology Ventures champions innovation, commercialization and integration of emerging technologies within Chevron.",1999-01-01,year,,,,,,https://www.chevron.com/technology/technology-ventures,,866.819.1448,,"Corporate Venture Capital, Venture Capital","Early Stage Venture, Late Stage Venture",44,67,,11,17,17,,,,"5,801",-0.1,0.8,1.1,,,,,,,,,,,,,61,,,,,,,,,,
Techstars Austin Accelerator,https://www.crunchbase.com/organization/techstars-austin-accelerator,"Austin, Texas, United States",,,Southern US,,"Techstars Austin is the accelerator program of Techstars that focuses on helping startups within the capital city of Texas. Recently ranked the #14 fastest-growing startup ecosystem in the world among many other top rankings (places to live, fitness, education), Austin has exploded onto the startup scene. With a strong tech community and a burgeoning investor network, Austin is attracting the best and brightest from all over the globe. Known for its friendly and welcoming startup vibe, founders are flocking to Austin to launch and grow their businesses.",,,,,,Active,Techstars Austin is the accelerator program of Techstars that focuses on helping startups within the capital city of Texas.,,,,,,,,https://www.techstars.com/programs/austin-program/,,,,Accelerator,Seed,61,61,,,7,7,,2019-08-25,14,"19,529",-0.4,-0.6,2,,,,,,,,,,,,,37,,,,,,,,,,
S3 Ventures,https://www.crunchbase.com/organization/s3-ventures,"Austin, Texas, United States",,,Southern US,,"S3 Ventures is an early, expansion, and growth stage venture firm with $350M under management. S3 is focused on information technology solutions that solve large business problems. They also invest in medical devices that improve the human condition. S3 invests in category defining opportunities. S3 partners with the team and help focus methodically on what it takes to build a successful company. At S3 today, the firm helps talented entrepreneurs take their technology and market knowledge and form valuable businesses in a repeatable fashion. Investment sizes start at several million or more for Series A, B & C financing. S3′s portfolio: Acessa Health, Alkami Technology, Briggo, Datical, Favor, Iconixx, Invodo, Kimbia, Liveoak Technologies, OrthoAccel, OutboundEngine, Packet Design, Phunware, Pivot3, Pristine, Qualia, Tango Health, TVA Medical and VUV Analytics. S3 invests primarily around the Southwest with a focus on Texas.",83,http://twitter.com/s3ventures,http://www.linkedin.com/company/s3-ventures,,,Active,"S3 Ventures is an early, expansion and growth stage venture capital firm that invests in information technology and medical device companies",2007-01-01,year,,,,,,http://www.s3vc.com,bp@s3vc.com,(512) 258-1759,,Venture Capital,"Early Stage Venture, Late Stage Venture",31,59,,36,15,15,,,,"4,764",-0.3,3.6,-2.6,"5,957","4,474.38",-3.53%,85,1%,2.14,23.69%,30.3%,-24.68%,"3,877,963","-125,257",-3.13%,23,,,8,,,,,,,
CenterPoint Venture Partners,https://www.crunchbase.com/organization/centerpoint-venture-partners,"Dallas, Texas, United States",,,"Dallas/Fort Worth Metroplex, Southern US",,"CenterPoint Ventures is one of the largest early-stage venture capital firms based in the Southwest. Founded in 1996, we have helped scores of entrepreneurs build successful, enduring companies that deliver long-term value to investors, founders, employees and customers alike.",2,,,,,Active,CenterPoint Ventures is one of the largest early-stage venture capital firms based in the Southwest.,1996-01-01,year,,,,,,http://www.cpventures.com,,(512) 795-5800,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",29,54,,11,21,21,,,,"18,821",-0.2,0,-0.7,,55.59,,,,,,,,,,,7,,,,,,,,,,
Covera Ventures,https://www.crunchbase.com/organization/covera-ventures,"Austin, Texas, United States",,,Southern US,,"Covera Ventures is a venture capital firm focused on investing in early-stage technology companies with a primary focus on infrastructure, wireless and mobility, software, and technology-enabled service companies. Our team of experienced investment professionals is committed to working with entrepreneurs to build great companies that address unmet needs in the marketplace. In addition to providing capital, we leverage our broad industry knowledge, relationships and investment experience to complement the strengths of the entrepreneur. Covera Ventures' typical investments range between $1 million to $5 million, with additional capital available to support future expansion. The principals of Covera Ventures have a significant history and track record in building entrepreneurial companies. Effective August 14, 2009, the Hunt Ventures team of investment professionals spun out from Hunt Consolidated, Inc. and is now operating as Covera Ventures.",8,,,,,Active,"Covera Ventures is a venture capital firm focused on investing in early-stage technology companies with a primary focus on infrastructure,",2009-08-01,day,,,,,,http://www.coveraventures.com,chris@coveraventures.com,512.795.5870,,Venture Capital,"Early Stage Venture, Late Stage Venture",32,51,,10,21,21,,,,"11,078",0.5,0.5,1.3,284,310.14,69.99%,1,,1,0%,100%,0%,"23,616,500","-4,292,293",-15.38%,4,,,7,,,,,,,
Sante Ventures,https://www.crunchbase.com/organization/sante-ventures,"Austin, Texas, United States",,,Southern US,,Santé Ventures is a life sciences venture capital firm that invests exclusively in early-stage companies developing innovative new medical technologies or healthcare delivery models. The firm was founded in 2006 and has $281 million in capital under management in two funds.,30,,https://www.linkedin.com/company/sant-ventures,,,Active,Santé Ventures is a life sciences venture capital firm that invests in early-stage companies developing innovative medical technologies.,2006-01-01,year,,,,,,http://www.santeventures.com,press@santeventures.com,512.721.1200,,Venture Capital,"Early Stage Venture, Late Stage Venture",31,50,,39,11,11,,,,"6,939",-0.1,-0.2,-1.5,"3,432","2,221.7",28.94%,42,-68.04%,2.53,-49.47%,17.14%,-11.59%,"5,305,266","518,900",10.84%,11,,,6,,,,,84529,USD,84529
Geekdom Fund,https://www.crunchbase.com/organization/geekdom-fund-l-p,"San Antonio, Texas, United States",,,Southern US,,"Geekdom Fund is a venture capital fund that invests in early stage tech startups led by the strongest founders. Geekdom Fund Partners are in the trenches with our companies. From weekly calls to biannual deep dives, we are always looking for ways to help out our portfolio companies. Whether it be pitch meetings, talents referrals, or grant writings we are always aiming to provide the most utility to those companies we invest in. We aim to be the most helpful investors on a companies cap table.",14,http://twitter.com/geekdomfund,https://www.linkedin.com/company/geekdomfund/,,,Active,"The Geekdom Fund is a venture capital fund that invests in early stage IT startups in San Antonio, South Texas and beyond.",2014-05-06,day,,,,,,http://geekdomfund.com/,info@geekdomfund.com,,,Venture Capital,Seed,38,49,,10,5,5,,,,"8,190",0.6,-0.5,2.1,189,280.84,28.51%,576,"7,107.01%",25,525%,,,"14,025,056","-8,842,544",-38.67%,4,,,,,,,,,,
CRG L.P.,https://www.crunchbase.com/organization/the-capital-royalty-fund,"Houston, Texas, United States",,,"Greater Houston Area, Southern US",,"CRG L.P. is a market pioneer and innovator in healthcare investing that focuses on intellectual property investments in FDA-approved biopharmaceutical assets through royalty bonds, structured debt, revenue interests and traditional royalty monetizations. We target investments between $20 and $200 million and work directly with leading healthcare companies, research institutions, and inventors to provide customized financing structures to meet their unique needs. Our financings are an attractive alternative to costly equity financings and restrictive debt financings. We help healthcare organizations fund pipeline development, make acquisitions, and expand into new markets—all with an adaptable source of capital. Capital Royalty strives to help biopharma companies access capital that has little to no dilution. While much of the capital that we invest allows our counterparties to fund innovative research and development products, our primary source of collateral is derived from commercialized products.  As the only investment team with experience in structuring royalty bonds, structured debt and traditional royalty monetizations, Capital Royalty is uniquely qualified to meet a broad range of financing needs for healthcare companies. We provide superior risk-adjusted returns to our investors by offering the most attractive financing alternatives to our business partners. Our investors include pension funds, insurance companies, family offices, university endowments, foundations, financial institutions, and other institutional investors. Our committed capital base provides us with the flexibility to move quickly to meet the capital needs of our business partners.",1,,,,,Active,CRG is a market pioneer and innovator in healthcare investing that focuses on intellectual property investments in,2003-01-01,year,,,,,,http://crglp.com/,dcarter@crglp.com,(713) 209-7350,,Private Equity Firm,,41,49,,11,24,24,,,,"11,885",-0.1,-0.1,0,"1,573","1,775.98",45.19%,16,-85.22%,1.86,-48.63%,62.39%,46.26%,"9,146,707","80,437",0.89%,19,,,,,,,,,USD,
ATX Venture Partners,https://www.crunchbase.com/organization/atx-venture-partners,"Austin, Texas, United States",,,Southern US,,"ATX Seed Ventures is an early-stage venture capital firm specializing in Texas and the South-Central U.S. The firm’s seed and Series A investments focus on software-as-a-service, IoT, e-commerce, AI, frontier commercial technologies, and mobile applications. ATX Seed Ventures was created by expert entrepreneurs to serve emerging entrepreneurs. The firm was founded in 2014 and is based in Austin, Texas.",37,https://twitter.com/ATXVenture,https://www.linkedin.com/company/atx-venture-partners/,https://www.facebook.com/atxventurepartners/,,Active,"ATX Venture Partners is an early-stage venture capital firm, founded by the region's most prominent entrepreneurs and investors.",2014-01-01,year,,,,,,http://www.atxventurepartners.com/,info@atxseedventures.com,,,Venture Capital,"Early Stage Venture, Seed, Venture",24,47,,27,4,4,,,,"4,631",0.4,5.1,9.4,"1,001",923.3,-12.69%,23,-34.2%,1.2,-21.22%,90.12%,3.13%,"13,420,860","2,314,114",20.84%,3,,,,,,,,,,
LiveOak Venture Partners,https://www.crunchbase.com/organization/liveoak-venture-partners,"Austin, Texas, United States",,,Southern US,,"Liveoak Venture Partners is an early-stage venture capital firm focused on technology and technology-driven services in Texas and the Southwest. LiveOak is a full lifecycle investor, with most of its relationships beginning at the seed stage.",40,http://twitter.com/liveoakvp,http://www.linkedin.com/company/liveoak-venture-partners,,,Active,LiveOak Venture Partners is a Texas-based venture capital firm making early-stage investments in technology and technology-driven services.,2012-01-01,year,,,,,,http://liveoakvp.com,plans@liveoakvp.com,,,Venture Capital,"Early Stage Venture, Seed",27,42,,23,3,3,,,,"3,869",-1.1,-1.9,3.4,"1,507","2,188.07",-44.25%,21,-79.34%,1.97,-37.11%,50.64%,38.64%,"9,213,931","3,934,575",74.53%,15,,,4,,,,,,,
SURGE Accelerator,https://www.crunchbase.com/organization/surge-accelerator,"Houston, Texas, United States",,,"Greater Houston Area, Southern US",,"Based in Houston, Texas, ""The Energy Capital of the World"", SURGE is a leading seed fund and mentor-driven accelerator that identifies, invests in, and enables entrepreneurs who are solving the world's energy problems. SURGE identifies leaders, validates business models, raises capital, and connects startups to customers and the global energy ecosystem. SURGE has recruited over 150 of the world's top scientists, engineers, executives, entrepreneurs, venture capitalists, and angel investors to serve as mentors. SURGE is ranked in the Top Ten accelerators in the US. Since May 2012, portfolio companies have raised Seed and Series A funding of over $25M. Join SURGE and elevate your business to the next level! The 4-month SURGE program is designed to provide 3 stages of support: Market Validation -  SURGE helps companies develop relationships with mentors and industry experts who will provide expert feedback on all aspects of the business. Companies solicit feedback, refine their business models, and develop market entry strategies. Scaling Operations - SURGE makes crucial customer introductions to help companies land pilot projects and enter new markets. Mentors help companies address the new challenges that accompany scaling a business. Raising Capital - SURGE prepares entrepreneurs to raise funding after they graduate from the program. Each company presents at SURGE Day in front of a targeted audience of 500+ investors, industry executives, and media. SURGE also helps with investor introductions, term sheet negotiations, and due diligence preparation. ABOUT THE PROGRAM:  Applications open August 13, 2014 Program runs from February 16, 2015 - June 17, 2015  SURGE Day is on May 19, 2015  Startups receive $30K in seed capital",13,http://twitter.com/SurgeVentures,http://www.linkedin.com/company/surge-accelerator,http://www.facebook.com/SurgeAccelerator,$1M to $10M,Active,"SURGE, a seed fund and mentor-driven accelerator, invests in and enables entrepreneurs to solve the world's energy problems.",2011-01-01,year,,,,,For Profit,http://www.surgeaccelerator.com,,,,Accelerator,"Early Stage Venture, Seed",36,41,,,2,2,,,,"12,165",1.3,0.5,-0.2,,,,,,,,,,,,,9,,,,,,,,,,
Michael & Susan Dell Foundation,https://www.crunchbase.com/organization/michael-susan-dell-foundation,"Austin, Texas, United States",,,Southern US,,"The Michael & Susan Dell Foundation (www.msdf.org) is dedicated to improving the lives of children living in urban poverty around the world. With offices in Austin, TX and New Delhi, India, and Cape Town, South Africa, the Dell family foundation funds programs that foster high-quality public education and childhood health, and improve the economic stability of families living in poverty. The foundation has committed more than $915 million (as of January 1, 2013) to global children’s issues and community initiatives to date.",30,http://www.twitter.com/msdf_foundation,https://www.linkedin.com/company/michael-&-susan-dell-foundation,http://www.facebook.com/dellfamilyfoundation,,Active,A private foundation dedicated to transforming the lives of children living in urban poverty through better health and education.,1999-01-01,year,,,,,,http://www.msdf.org,info@msdf.org,(512) 600-5501,,Family Investment Office,Early Stage Venture,28,37,,18,4,4,,,,"5,984",-0.1,2,-2.7,"17,761","29,042.75",-49.84%,181,-38.19%,3.55,-28.92%,41.91%,15.57%,"1,475,338","666,386",82.38%,61,,,22,,,,,117939,USD,117939
TA Capital,https://www.crunchbase.com/organization/atlantic-capital-partners,"Houston, Texas, United States",,,"Greater Houston Area, Southern US",,"From its active funds TAC currently invests in Europe and the USA. They invest in all stages (seed, early and growth) of start-ups with capable teams and scalable business models. Their investment sizes go from as low as $200,000 to as much as $15 milion per transaction. They like opportunities in e-commerce, Internet, digital life and software domains. They like to create and shape new markets. They are unconventional, caring and driven, and very fast. They are honest and fair in their  daily dealings and in their  transactions.  They honor their  commitments and deliver on their  promises, on time. They see it their  mission to provide entrepreneurs with the resources required to grow their companies and they exclusively partner with teams who share their  values.",19,http://twitter.com/TACVenture,,https://www.facebook.com/tacventures/,,Active,TA Capital invests in the growth stage of start-ups with capable teams and strong visions.,2010-01-01,day,,,,,,http://www.ta.capital/,michaela@atlanticcp.com,+1 713 341 5326,,Venture Capital,"Early Stage Venture, Late Stage Venture",29,37,,16,11,11,,,,"9,091",0,2.4,0,196,322.06,-47.35%,14,119.63%,3,101.3%,0%,-50.97%,"21,908,463","2,788,334",14.58%,7,,,,,,,,,,
